"MODELO CUADRADOS MEDIOS
",,,,,,,,,,,
,Símbolo,Significado,VALOR,,N°,Xn,Paso1,Xn+1,,Media,4789
,Semilla,Xn,21,,1,21,441,441,,Periodo,4
,D,Número de digitos no debe ser >4,4,,2,441,194481,9448,,Varianza,"10202332,98"
,,,,,3,9448,89264704,2647,,,
,,,,,4,2647,7006609,66,,,
,,,,,5,66,4356,4356,,Características ,"Es un método determinístico.

Cada número se obtiene del cuadrado del anterior.

Requiere definir una semilla inicial de n dígitos.

La cantidad de dígitos debe mantenerse constante en cada iteración.

Puede caer rápidamente en ciclos o en cero.

Periodo generalmente corto.

Fácil de implementar manualmente o en computadora."
,,,,,6,4356,18974736,9747,,,
,,,,,7,9747,95004009,40,,,
,,,,,8,40,1600,1600,,,
,,,,,9,1600,2560000,5600,,,
,,,,,10,5600,31360000,3600,,,
,,,,,11,3600,12960000,9600,,,
,,,,,12,9600,92160000,1600,,Cuando usarlo,"El método de cuadrados medios se utiliza principalmente: para fines didácticos y académicos, no se recomienda para simulaciones reales complejas."
,,,,,13,1600,2560000,5600,,,
,,,,,14,5600,31360000,3600,,Conclusión ,"El método destaca por su simplicidad, su desventaja es la baja calidad de aleatoridad, el período suele ser corto no es recomendable para simulaciones que requieran precisión y alta aleatoridad."
,,,,,15,3600,12960000,9600,,,
,,,,,16,9600,92160000,1600,,,
,,,,,17,1600,2560000,5600,,Recomendaciones del modelo,"Para obtener mejores resultados con el método de cuadrados medios:  Usar semillas con muchos dígitos (4 o más), evitar semillas con muchos ceros."
,,,,,18,5600,31360000,3600,,,
,,,,,19,3600,12960000,9600,,,
,,,,,20,9600,92160000,1600,,,
,,,,,21,1600,2560000,5600,,,
,,,,,22,5600,31360000,3600,,,
,,,,,23,3600,12960000,9600,,,
,,,,,24,9600,92160000,1600,,,
,,,,,25,1600,2560000,5600,,,
,,,,,26,5600,31360000,3600,,,
,,,,,27,3600,12960000,9600,,,
,,,,,28,9600,92160000,1600,,,
,,,,,29,1600,2560000,5600,,,
,,,,,30,5600,31360000,3600,,,
,,,,,31,3600,12960000,9600,,,
,,,,,32,9600,92160000,1600,,,
,,,,,33,1600,2560000,5600,,,
,,,,,34,5600,31360000,3600,,,
,,,,,35,3600,12960000,9600,,,
,,,,,36,9600,92160000,1600,,,
,,,,,37,1600,2560000,5600,,,
,,,,,38,5600,31360000,3600,,,
,,,,,39,3600,12960000,9600,,,
,,,,,40,9600,92160000,1600,,,
,,,,,41,1600,2560000,5600,,,
,,,,,42,5600,31360000,3600,,,
,,,,,43,3600,12960000,9600,,,
,,,,,44,9600,92160000,1600,,,
,,,,,45,1600,2560000,5600,,,
,,,,,46,5600,31360000,3600,,,
,,,,,47,3600,12960000,9600,,,
,,,,,48,9600,92160000,1600,,,
,,,,,49,1600,2560000,5600,,,
,,,,,50,5600,31360000,3600,,,
,,,,,51,3600,12960000,9600,,,
,,,,,52,9600,92160000,1600,,,
,,,,,53,1600,2560000,5600,,,
,,,,,54,5600,31360000,3600,,,
,,,,,55,3600,12960000,9600,,,
,,,,,56,9600,92160000,1600,,,
,,,,,57,1600,2560000,5600,,,
,,,,,58,5600,31360000,3600,,,
,,,,,59,3600,12960000,9600,,,
,,,,,60,9600,92160000,1600,,,
,,,,,61,1600,2560000,5600,,,
,,,,,62,5600,31360000,3600,,,
,,,,,63,3600,12960000,9600,,,
,,,,,64,9600,92160000,1600,,,
,,,,,65,1600,2560000,5600,,,
,,,,,66,5600,31360000,3600,,,
,,,,,67,3600,12960000,9600,,,
,,,,,68,9600,92160000,1600,,,
,,,,,69,1600,2560000,5600,,,
,,,,,70,5600,31360000,3600,,,
,,,,,71,3600,12960000,9600,,,
,,,,,72,9600,92160000,1600,,,
,,,,,73,1600,2560000,5600,,,
,,,,,74,5600,31360000,3600,,,
,,,,,75,3600,12960000,9600,,,
,,,,,76,9600,92160000,1600,,,
,,,,,77,1600,2560000,5600,,,
,,,,,78,5600,31360000,3600,,,
,,,,,79,3600,12960000,9600,,,
,,,,,80,9600,92160000,1600,,,
,,,,,81,1600,2560000,5600,,,
,,,,,82,5600,31360000,3600,,,
,,,,,83,3600,12960000,9600,,,
,,,,,84,9600,92160000,1600,,,
,,,,,85,1600,2560000,5600,,,
,,,,,86,5600,31360000,3600,,,
,,,,,87,3600,12960000,9600,,,
,,,,,88,9600,92160000,1600,,,
,,,,,89,1600,2560000,5600,,,
,,,,,90,5600,31360000,3600,,,
,,,,,91,3600,12960000,9600,,,
,,,,,92,9600,92160000,1600,,,
,,,,,93,1600,2560000,5600,,,
,,,,,94,5600,31360000,3600,,,
,,,,,95,3600,12960000,9600,,,
,,,,,96,9600,92160000,1600,,,
,,,,,97,1600,2560000,5600,,,
,,,,,98,5600,31360000,3600,,,
,,,,,99,3600,12960000,9600,,,
,,,,,100,9600,92160000,1600,,,
